   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
   0.000000  200.000000    1.003435    1.003431   -0.000000    0.000000    0.000000    0.000000 
   1.000000  202.000000    1.015239    0.011804   -0.000000   -3.600000   -3.600000   -0.118512 
   2.000000  203.000000    1.020327    0.005087   -0.000000   -5.400000   -5.400000   -0.159016 
   3.000000  204.000000    1.025201    0.004874   -0.000000   -7.200000   -7.200000   -0.219022 
   4.000000  205.000000    1.030186    0.004985   -0.000000   -9.000000   -9.000000   -0.276028 
   5.000000  206.000000    1.035243    0.005056   -0.000000  -10.800000  -10.800000   -0.334533 
   6.000000  207.000000    1.040248    0.005006   -0.000000  -12.600000  -12.600000   -0.394539 
   7.000000  208.000000    1.045309    0.005061   -0.000000  -14.400000  -14.400000   -0.454545 
   8.000000  209.000000    1.050222    0.004913   -0.175781  -16.200000  -16.024219   -0.516052 
   9.000000  210.000000    1.055271    0.005050   -0.791016  -18.000000  -17.208984   -0.535554 
  10.000000  211.000000    1.060237    0.004966   -1.494141  -19.800000  -18.305859   -0.493549 
  11.000000  212.000000    1.065262    0.005024   -2.373047  -21.600000  -19.226953   -0.537054 
  12.000000  213.000000    1.070232    0.004971   -3.076172  -23.400000  -20.323828   -0.537054 
  13.000000  214.000000    1.075224    0.004992   -3.691406  -25.200000  -21.508594   -0.627063 
  14.000000  215.000000    1.080216    0.004992   -4.658203  -27.000000  -22.341797   -0.682568 
  15.000000  216.000000    1.085324    0.005108   -6.328125  -28.800000  -22.471875   -0.642064 
  16.000000  217.000000    1.090222    0.004897   -8.876953  -30.600000  -21.723047   -0.525053 
  17.000000  218.000000    1.095206    0.004984  -11.865234  -32.400000  -20.534766   -0.355536 
  18.000000  219.000000    1.100221    0.005015  -14.589844  -34.200000  -19.610156   -0.273027 
  19.000000  220.000000    1.105242    0.005021  -17.138672  -36.000000  -18.861328   -0.325533 
  20.000000  221.000000    1.110273    0.005031  -18.984375  -37.800000  -18.815625   -0.334533 
  21.000000  222.000000    1.115234    0.004962  -19.863281  -39.600000  -19.736719   -0.489049 
  22.000000  223.000000    1.120246    0.005011  -22.060547  -41.400000  -19.339453   -0.700570 
  23.000000  224.000000    1.125229    0.004983  -24.785156  -43.200000  -18.414844   -0.373537 
  24.000000  225.000000    1.130351    0.005122  -27.421875  -45.000000  -17.578125   -0.318032 
  25.000000  226.000000    1.135266    0.004915  -29.531250  -46.800000  -17.268750   -0.330033 
  26.000000  227.000000    1.140246    0.004980  -31.113281  -48.600000  -17.486719   -0.436544 
  27.000000  228.000000    1.145234    0.004988  -33.134766  -50.400000  -17.265234   -0.541554 
  28.000000  229.000000    1.150217    0.004983  -36.210938  -52.200000  -15.989063   -0.429043 
  29.000000  230.000000    1.155214    0.004997  -39.023438  -54.000000  -14.976563   -0.199520 
  30.000000  231.000000    1.160224    0.005010  -40.253906  -55.800000  -15.546094   -0.280528 
  31.000000  232.000000    1.165212    0.004989  -41.308594  -57.600000  -16.291406   -0.622562 
  32.000000  233.000000    1.170217    0.005005  -43.330078  -59.400000  -16.069922   -0.616562 
  33.000000  234.000000    1.175210    0.004993  -45.527344  -61.200000  -15.672656   -0.418542 
  34.000000  235.000000    1.180289    0.005080  -47.724609  -63.000000  -15.275391   -0.424542 
  35.000000  236.000000    1.185229    0.004940  -49.833984  -64.800000  -14.966016   -0.418542 
  36.000000  237.000000    1.190243    0.005013  -52.294922  -66.600000  -14.305078   -0.436544 
  37.000000  238.000000    1.195224    0.004981  -55.722656  -68.400000  -12.677344   -0.343534 
  38.000000  239.000000    1.200253    0.005029  -58.798828  -70.200000  -11.401172   -0.112511 
  39.000000  240.000000    1.205368    0.005115  -60.292969  -72.000000  -11.707031   -0.201020 
  40.000000  241.000000    1.210371    0.005003  -61.259766  -73.800000  -12.540234   -0.529553 
  41.000000  242.000000    1.215242    0.004871  -62.138672  -75.600000  -13.461328   -0.601560 
  42.000000  243.000000    1.220226    0.004984  -64.160156  -77.400000  -13.239844   -0.645065 
  43.000000  244.000000    1.225232    0.005006  -66.708984  -79.200000  -12.491016   -0.397540 
  44.000000  245.000000    1.230223    0.004991  -68.994141  -81.000000  -12.005859   -0.325533 
  45.000000  246.000000    1.235226    0.005003  -71.191406  -82.800000  -11.608594   -0.387039 
  46.000000  247.000000    1.240208    0.004982  -73.652344  -84.600000  -10.947656   -0.384038 
  47.000000  248.000000    1.245233    0.005025  -76.376953  -86.400000  -10.023047   -0.312031 
  48.000000  249.000000    1.250235    0.005002  -78.925781  -88.200000   -9.274219   -0.246025 
  49.000000  250.000000    1.255381    0.005146  -80.771484  -90.000000   -9.228516   -0.276028 
  50.000000  251.000000    1.260310    0.004928  -81.738281  -91.800000  -10.061719   -0.420042 
  51.000000  252.000000    1.265275    0.004965  -82.529297  -93.600000  -11.070703   -0.606061 
