       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000005    0.000001    0.000000    0.001665    0.001665    0.000000    0.000000    0.000000    0.000000    0.000000   -0.000410
   1.000000    0.006826    0.006821    0.000000    2.457360    2.457360    0.000000    0.000000    0.000000    0.000000    0.000000   -0.603959
   2.000000    0.012039    0.005213    0.000000    4.334100    4.334100    0.000000    0.000000    0.000000    0.000000    0.000000   -0.413456
   3.000000    0.017172    0.005133    0.000000    6.182070    6.182070    0.000000    0.000000    0.000000    0.000000    0.000000   -0.524104
   4.000000    0.022283    0.005111    0.263672    8.021910    7.758238    0.000000    0.000000    0.000000    0.000000    0.000000   -0.504469
   5.000000    0.027441    0.005158    0.878906    9.878775    8.999869    0.000000    0.000000    0.000000    0.000000    0.000000   -0.490829
   6.000000    0.032553    0.005112    1.230469   11.718975   10.488506    0.000000    0.000000    0.000000    0.000000    0.000000   -0.607115
   7.000000    0.037666    0.005114    1.845703   13.559880   11.714177    0.000000    0.000000    0.000000    0.000000    0.000000   -0.577708
   8.000000    0.042774    0.005108    2.373047   15.398685   13.025638    0.000000    0.000000    0.000000    0.000000    0.000000   -0.659219
   9.000000    0.047890    0.005116    3.076172   17.240400   14.164228    0.000000    0.000000    0.000000    0.000000    0.000000   -0.655161
  10.000000    0.053000    0.005110    3.867188   19.079970   15.212783    0.000000    0.000000    0.000000    0.000000    0.000000   -0.685827
  11.000000    0.058163    0.005163    4.921875   20.938530   16.016655    0.000000    0.000000    0.000000    0.000000    0.000000   -0.667629
  12.000000    0.063343    0.005181    6.679688   22.803540   16.123853    0.000000    0.000000    0.000000    0.000000    0.000000   -0.541097
  13.000000    0.068609    0.005266    9.404297   24.699300   15.295003    0.000000    0.000000    0.000000    0.000000    0.000000   -0.355111
  14.000000    0.073882    0.005273   12.128906   26.597430   14.468524    0.000000    0.000000    0.000000    0.000000    0.000000   -0.378324
  15.000000    0.079110    0.005229   14.589844   28.479735   13.889891    0.000000    0.000000    0.000000    0.000000    0.000000   -0.412390
  16.000000    0.084350    0.005240   16.347656   30.365955   14.018299    0.000000    0.000000    0.000000    0.000000    0.000000   -0.565743
  17.000000    0.089625    0.005275   16.962891   32.265000   15.302109    0.000000    0.000000    0.000000    0.000000    0.000000   -0.827925
  18.000000    0.094852    0.005227   17.490234   34.146690   16.656456    0.000000    0.000000    0.000000    0.000000    0.000000   -0.841810
  19.000000    0.100034    0.005182   19.335938   36.012195   16.676258    0.000000    0.000000    0.000000    0.000000    0.000000   -0.571874
  20.000000    0.105154    0.005121   22.587891   37.855590   15.267699    0.000000    0.000000    0.000000    0.000000    0.000000   -0.295532
  21.000000    0.110268    0.005114   26.103516   39.696495   13.592979    0.000000    0.000000    0.000000    0.000000    0.000000   -0.252189
  22.000000    0.115380    0.005112   27.685547   41.536935   13.851388    0.000000    0.000000    0.000000    0.000000    0.000000   -0.684069
  23.000000    0.120491    0.005110   28.916016   43.376715   14.460699    0.000000    0.000000    0.000000    0.000000    0.000000   -0.687799
  24.000000    0.125606    0.005115   31.904297   45.217980   13.313683    0.000000    0.000000    0.000000    0.000000    0.000000   -0.287200
  25.000000    0.130714    0.005109   34.716797   47.057070   12.340273    0.000000    0.000000    0.000000    0.000000    0.000000   -0.389673
  26.000000    0.135825    0.005111   37.529297   48.897165   11.367868    0.000000    0.000000    0.000000    0.000000    0.000000   -0.337546
  27.000000    0.140936    0.005110   39.814453   50.736930   10.922477    0.000000    0.000000    0.000000    0.000000    0.000000   -0.450459
  28.000000    0.146057    0.005121   40.429688   52.580655   12.150968    0.000000    0.000000    0.000000    0.000000    0.000000   -0.826160
  29.000000    0.151169    0.005111   42.539062   54.420780   11.881717    0.000000    0.000000    0.000000    0.000000    0.000000   -0.423559
  30.000000    0.156281    0.005112   45.351562   56.261130   10.909568    0.000000    0.000000    0.000000    0.000000    0.000000   -0.342817
  31.000000    0.161391    0.005110   47.988281   58.100805   10.112524    0.000000    0.000000    0.000000    0.000000    0.000000   -0.375598
  32.000000    0.166504    0.005112   49.746094   59.941305   10.195211    0.000000    0.000000    0.000000    0.000000    0.000000   -0.561086
  33.000000    0.171613    0.005110   50.800781   61.780800   10.980019    0.000000    0.000000    0.000000    0.000000    0.000000   -0.700031
  34.000000    0.176725    0.005112   53.173828   63.621060   10.447232    0.000000    0.000000    0.000000    0.000000    0.000000   -0.379911
  35.000000    0.181836    0.005111   56.337891   65.460885    9.122994    0.000000    0.000000    0.000000    0.000000    0.000000   -0.247245
  36.000000    0.186948    0.005112   59.326172   67.301265    7.975093    0.000000    0.000000    0.000000    0.000000    0.000000   -0.278169
  37.000000    0.192058    0.005110   60.556641   69.140940    8.584299    0.000000    0.000000    0.000000    0.000000    0.000000   -0.665365
  38.000000    0.197169    0.005111   60.996094   70.980765    9.984671    0.000000    0.000000    0.000000    0.000000    0.000000   -0.797538
  39.000000    0.202279    0.005110   63.193359   72.820515    9.627156    0.000000    0.000000    0.000000    0.000000    0.000000   -0.393088
  40.000000    0.207400    0.005121   66.093750   74.663910    8.570160    0.000000    0.000000    0.000000    0.000000    0.000000   -0.308844
  41.000000    0.212511    0.005111   68.994141   76.503960    7.509819    0.000000    0.000000    0.000000    0.000000    0.000000   -0.293851
  42.000000    0.217623    0.005112   70.664062   78.344385    7.680323    0.000000    0.000000    0.000000    0.000000    0.000000   -0.565351
  43.000000    0.222735    0.005112   71.279297   80.184705    8.905408    0.000000    0.000000    0.000000    0.000000    0.000000   -0.772450
  44.000000    0.227847    0.005112   73.652344   82.024920    8.372576    0.000000    0.000000    0.000000    0.000000    0.000000   -0.343155
  45.000000    0.232957    0.005110   76.289062   83.864475    7.575412    0.000000    0.000000    0.000000    0.000000    0.000000   -0.364387
  46.000000    0.238068    0.005112   78.837891   85.704630    6.866739    0.000000    0.000000    0.000000    0.000000    0.000000   -0.356309
  47.000000    0.243178    0.005110   81.210938   87.544095    6.333158    0.000000    0.000000    0.000000    0.000000    0.000000   -0.379252
  48.000000    0.248291    0.005112   82.265625   89.384595    7.118970    0.000000    0.000000    0.000000    0.000000    0.000000   -0.682567
  49.000000    0.253400    0.005110   82.792969   91.224045    8.431076    0.000000    0.000000    0.000000    0.000000    0.000000   -0.774917
  50.000000    0.258512    0.005112   84.814453   93.064260    8.249807    0.000000    0.000000    0.000000    0.000000    0.000000   -0.440549
  51.000000    0.263623    0.005111   87.714844   94.904355    7.189511    0.000000    0.000000    0.000000    0.000000    0.000000   -0.301397
  52.000000    0.268735    0.005112   90.439453   96.744585    6.305132    0.000000    0.000000    0.000000    0.000000    0.000000   -0.342347
  53.000000    0.273846    0.005111   92.548828   98.584425    6.035597    0.000000    0.000000    0.000000    0.000000    0.000000   -0.455010
  54.000000    0.278952    0.005107   93.779297  100.422795    6.643498    0.000000    0.000000    0.000000    0.000000    0.000000   -0.638260
  55.000000    0.284065    0.005113   95.888672  102.263340    6.374668    0.000000    0.000000    0.000000    0.000000    0.000000   -0.406725
  56.000000    0.289172    0.005107   98.437500  104.101845    5.664345    0.000000    0.000000    0.000000    0.000000    0.000000   -0.346563
  57.000000    0.294280    0.005109  100.898438  105.940905    5.042468    0.000000    0.000000    0.000000    0.000000    0.000000   -0.359564
  58.000000    0.299648    0.005368  103.359375  107.873310    4.513935    0.000000    0.000000    0.000000    0.000000    0.000000   -0.359510
  59.000000    0.308573    0.008925  104.414062  111.086235    6.672173    0.000000    0.000000    0.000000    0.000000    0.000000   -1.003532
  60.000000    0.314114    0.005541  106.347656  113.081160    6.733504    0.000000    0.000000    0.000000    0.000000    0.000000   -0.421817
  61.000000    0.319477    0.005363  109.335938  115.011690    5.675753    0.000000    0.000000    0.000000    0.000000    0.000000   -0.289725
  62.000000    0.324867    0.005390  112.236328  116.952060    4.715732    0.000000    0.000000    0.000000    0.000000    0.000000   -0.308894
  63.000000    0.330252    0.005386  114.433594  118.890870    4.457276    0.000000    0.000000    0.000000    0.000000    0.000000   -0.444126
  64.000000    0.335746    0.005493  115.664062  120.868470    5.204408    0.000000    0.000000    0.000000    0.000000    0.000000   -0.652983
  65.000000    0.341181    0.005435  118.125000  122.825130    4.700130    0.000000    0.000000    0.000000    0.000000    0.000000   -0.327554
  66.000000    0.346603    0.005422  121.816406  124.777170    2.960764    0.000000    0.000000    0.000000    0.000000    0.000000   -0.084324
  67.000000    0.351984    0.005380  123.222656  126.714060    3.491404    0.000000    0.000000    0.000000    0.000000    0.000000   -0.636572
  68.000000    0.357394    0.005410  124.541016  128.661825    4.120809    0.000000    0.000000    0.000000    0.000000    0.000000   -0.553458
  69.000000    0.362923    0.005529  125.595703  130.652220    5.056517    0.000000    0.000000    0.000000    0.000000    0.000000   -0.674531
  70.000000    0.368322    0.005399  126.562500  132.595935    6.033435    0.000000    0.000000    0.000000    0.000000    0.000000   -0.694577
  71.000000    0.373704    0.005382  129.287109  134.533365    5.246256    0.000000    0.000000    0.000000    0.000000    0.000000   -0.296476
  72.000000    0.379343    0.005639  132.275391  136.563300    4.287909    0.000000    0.000000    0.000000    0.000000    0.000000   -0.321746
  73.000000    0.384769    0.005427  134.912109  138.516885    3.604776    0.000000    0.000000    0.000000    0.000000    0.000000   -0.350466
  74.000000    0.390246    0.005477  136.406250  140.488560    4.082310    0.000000    0.000000    0.000000    0.000000    0.000000   -0.606007
  75.000000    0.395610    0.005364  137.548828  142.419630    4.870802    0.000000    0.000000    0.000000    0.000000    0.000000   -0.643081
  76.000000    0.400984    0.005374  140.273438  144.354105    4.080668    0.000000    0.000000    0.000000    0.000000    0.000000   -0.278794
  77.000000    0.406314    0.005330  142.822266  146.273025    3.450759    0.000000    0.000000    0.000000    0.000000    0.000000   -0.376767
  78.000000    0.411561    0.005247  145.107422  148.162080    3.054658    0.000000    0.000000    0.000000    0.000000    0.000000   -0.389987
  79.000000    0.416828    0.005267  146.689453  150.058125    3.368672    0.000000    0.000000    0.000000    0.000000    0.000000   -0.548724
  80.000000    0.422119    0.005291  147.304688  151.962990    4.658303    0.000000    0.000000    0.000000    0.000000    0.000000   -0.765398
  81.000000    0.427375    0.005255  149.238281  153.854970    4.616689    0.000000    0.000000    0.000000    0.000000    0.000000   -0.438435
  82.000000    0.432621    0.005247  151.875000  155.743740    3.868740    0.000000    0.000000    0.000000    0.000000    0.000000   -0.342867
  83.000000    0.437876    0.005254  154.335938  157.635225    3.299287    0.000000    0.000000    0.000000    0.000000    0.000000   -0.383740
  84.000000    0.443123    0.005248  156.621094  159.524385    2.903291    0.000000    0.000000    0.000000    0.000000    0.000000   -0.397673
  85.000000    0.448376    0.005253  158.730469  161.415495    2.685026    0.000000    0.000000    0.000000    0.000000    0.000000   -0.425205
  86.000000    0.453624    0.005247  160.664062  163.304535    2.640472    0.000000    0.000000    0.000000    0.000000    0.000000   -0.455065
  87.000000    0.458875    0.005251  163.037109  165.194925    2.157816    0.000000    0.000000    0.000000    0.000000    0.000000   -0.340368
  88.000000    0.464199    0.005324  165.937500  167.111595    1.174095    0.000000    0.000000    0.000000    0.000000    0.000000   -0.227390
  89.000000    0.469430    0.005232  166.904297  168.994980    2.090683    0.000000    0.000000    0.000000    0.000000    0.000000   -0.685253
  90.000000    0.474677    0.005246  167.343750  170.883645    3.539895    0.000000    0.000000    0.000000    0.000000    0.000000   -0.744509
  91.000000    0.479911    0.005234  168.134766  172.767900    4.633134    0.000000    0.000000    0.000000    0.000000    0.000000   -0.699582
  92.000000    0.485161    0.005250  169.453125  174.657975    5.204850    0.000000    0.000000    0.000000    0.000000    0.000000   -0.625775
  93.000000    0.490395    0.005234  171.210938  176.542035    5.331098    0.000000    0.000000    0.000000    0.000000    0.000000   -0.558314
  94.000000    0.495699    0.005305  172.968750  178.451730    5.482980    0.000000    0.000000    0.000000    0.000000    0.000000   -0.588654
  95.000000    0.500941    0.005242  175.605469  179.661120    4.055651    0.000000    0.000000    0.000000    0.000000    0.000000   -0.202391
  96.000000    0.506192    0.005251  178.066406  177.770805   -0.295601    0.000000    0.000000    0.000000    0.000000    0.000000    0.476897
  97.000000    0.511434    0.005242  180.351562  175.883775   -4.467787    0.000000    0.000000    0.000000    0.000000    0.000000    0.436475
  98.000000    0.516682    0.005248  181.142578  173.994555   -7.148023    0.000000    0.000000    0.000000    0.000000    0.000000    0.237994
