   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
   0.000000  200.000000    1.006700    1.006695   -0.000000    0.000000    0.000000    0.000000 
   1.000000  201.000000    1.015231    0.008531   -0.000000   -1.800000   -1.800000    0.000000 
   2.000000  202.000000    1.020212    0.004980   -0.000000   -3.600000   -3.600000   -0.118512 
   3.000000  203.000000    1.025214    0.005002   -0.000000   -5.400000   -5.400000   -0.120012 
   4.000000  204.000000    1.030212    0.004998   -0.000000   -7.200000   -7.200000   -0.219022 
   5.000000  205.000000    1.035186    0.004975   -0.000000   -9.000000   -9.000000   -0.244524 
   6.000000  206.000000    1.040185    0.004998   -0.000000  -10.800000  -10.800000   -0.327033 
   7.000000  207.000000    1.045225    0.005041   -0.000000  -12.600000  -12.600000   -0.369037 
   8.000000  208.000000    1.050260    0.005034   -0.000000  -14.400000  -14.400000   -0.442544 
   9.000000  209.000000    1.055222    0.004962   -0.000000  -16.200000  -16.200000   -0.493549 
  10.000000  210.000000    1.060219    0.004997   -0.000000  -18.000000  -18.000000   -0.564056 
  11.000000  211.000000    1.065210    0.004992   -0.263672  -19.800000  -19.536328   -0.621062 
  12.000000  212.000000    1.070228    0.005018   -1.142578  -21.600000  -20.457422   -0.690069 
  13.000000  213.000000    1.075234    0.005006   -2.021484  -23.400000  -21.378516   -0.691569 
  14.000000  214.000000    1.080253    0.005019   -3.076172  -25.200000  -22.123828   -0.663066 
  15.000000  215.000000    1.085371    0.005118   -4.482422  -27.000000  -22.517578   -0.777078 
  16.000000  216.000000    1.090246    0.004875   -6.591797  -28.800000  -22.208203   -0.714071 
  17.000000  217.000000    1.095264    0.005018   -9.931641  -30.600000  -20.668359   -0.751575 
  18.000000  218.000000    1.100234    0.004971  -13.535156  -32.400000  -18.864844   -0.618062 
  19.000000  219.000000    1.105201    0.004967  -16.875000  -34.200000  -17.325000   -0.471047 
  20.000000  220.000000    1.110229    0.005028  -19.775391  -36.000000  -16.224609   -0.504050 
  21.000000  221.000000    1.115210    0.004981  -22.412109  -37.800000  -15.387891   -0.459046 
  22.000000  222.000000    1.120220    0.005009  -24.785156  -39.600000  -14.814844   -0.514551 
  23.000000  223.000000    1.125257    0.005037  -26.982422  -41.400000  -14.417578   -0.472547 
  24.000000  224.000000    1.130333    0.005076  -29.179688  -43.200000  -14.020313   -0.526553 
  25.000000  225.000000    1.135236    0.004903  -32.080078  -45.000000  -12.919922   -0.498050 
  26.000000  226.000000    1.140228    0.004992  -34.980469  -46.800000  -11.819531   -0.507051 
  27.000000  227.000000    1.145213    0.004985  -37.705078  -48.600000  -10.894922   -0.333033 
  28.000000  228.000000    1.150221    0.005009  -39.814453  -50.400000  -10.585547   -0.447045 
  29.000000  229.000000    1.155256    0.005035  -41.308594  -52.200000  -10.891406   -0.345035 
  30.000000  230.000000    1.160250    0.004994  -43.330078  -54.000000  -10.669922   -0.516052 
  31.000000  231.000000    1.165272    0.005022  -45.527344  -55.800000  -10.272656   -0.493549 
  32.000000  232.000000    1.170238    0.004965  -47.636719  -57.600000   -9.963281   -0.399040 
  33.000000  233.000000    1.175260    0.005022  -49.482422  -59.400000   -9.917578   -0.456046 
  34.000000  234.000000    1.180214    0.004954  -51.152344  -61.200000  -10.047656   -0.421542 
  35.000000  235.000000    1.185218    0.005004  -53.525391  -63.000000   -9.474609   -0.496550 
  36.000000  236.000000    1.190214    0.004995  -56.162109  -64.800000   -8.637891   -0.475548 
  37.000000  237.000000    1.195215    0.005001  -58.271484  -66.600000   -8.328516   -0.343534 
  38.000000  238.000000    1.200223    0.005008  -58.974609  -68.400000   -9.425391   -0.393039 
  39.000000  239.000000    1.205256    0.005034  -59.941406  -70.200000  -10.258594   -0.441044 
  40.000000  240.000000    1.210409    0.005152  -61.962891  -72.000000  -10.037109   -0.691569 
  41.000000  241.000000    1.215231    0.004822  -63.808594  -73.800000   -9.991406   -0.456046 
  42.000000  242.000000    1.220206    0.004975  -66.093750  -75.600000   -9.506250   -0.475548 
  43.000000  243.000000    1.225215    0.005009  -68.203125  -77.400000   -9.196875   -0.535554 
  44.000000  244.000000    1.230218    0.005003  -70.136719  -79.200000   -9.063281   -0.381038 
  45.000000  245.000000    1.235249    0.005031  -72.246094  -81.000000   -8.753906   -0.543054 
  46.000000  246.000000    1.240231    0.004982  -75.322266  -82.800000   -7.477734   -0.438044 
  47.000000  247.000000    1.245280    0.005050  -78.134766  -84.600000   -6.465234   -0.475548 
  48.000000  248.000000    1.250232    0.004952  -80.244141  -86.400000   -6.155859   -0.228023 
  49.000000  249.000000    1.255327    0.005095  -81.474609  -88.200000   -6.725391   -0.451545 
  50.000000  250.000000    1.260213    0.004886  -83.144531  -90.000000   -6.855469   -0.372037 
  51.000000  251.000000    1.265213    0.005000  -85.605469  -91.800000   -6.194531   -0.597060 
  52.000000  252.000000    1.270202    0.004989  -87.802734  -93.600000   -5.797266   -0.333033 
  53.000000  253.000000    1.275208    0.005006  -89.824219  -95.400000   -5.575781   -0.394539 
  54.000000  254.000000    1.280283    0.005075  -91.582031  -97.200000   -5.617969   -0.403540 
  55.000000  255.000000    1.285252    0.004969  -92.900391  -99.000000   -6.099609   -0.403540 
  56.000000  256.000000    1.290446    0.005194  -94.746094 -100.800000   -6.053906   -0.453045 
  57.000000  257.000000    1.295295    0.004849  -97.031250 -102.600000   -5.568750   -0.513051 
  58.000000  258.000000    1.300336    0.005040  -99.140625 -104.400000   -5.259375   -0.364536 
  59.000000  259.000000    1.305240    0.004904 -101.162109 -106.200000   -5.037891   -0.406541 
  60.000000  260.000000    1.310254    0.005014 -102.392578 -108.000000   -5.607422   -0.405041 
  61.000000  261.000000    1.315272    0.005018 -103.271484 -109.800000   -6.528516   -0.405041 
  62.000000  262.000000    1.320278    0.005006 -105.292969 -111.600000   -6.307031   -0.576058 
  63.000000  263.000000    1.325359    0.005080 -107.753906 -113.400000   -5.646094   -0.529553 
  64.000000  264.000000    1.330241    0.004882 -110.126953 -115.200000   -5.073047   -0.355536 
  65.000000  265.000000    1.335483    0.005243 -112.236328 -117.000000   -4.763672   -0.430543 
  66.000000  266.000000    1.340287    0.004804 -113.818359 -118.800000   -4.981641   -0.369037 
  67.000000  267.000000    1.345265    0.004977 -115.576172 -120.600000   -5.023828   -0.444044 
  68.000000  268.000000    1.350607    0.005343 -118.037109 -122.400000   -4.362891   -0.484548 
  69.000000  269.000000    1.355294    0.004687 -120.410156 -124.200000   -3.789844   -0.411041 
  70.000000  270.000000    1.360217    0.004922 -122.519531 -126.000000   -3.480469   -0.327033 
  71.000000  271.000000    1.365193    0.004976 -124.101562 -127.800000   -3.698437   -0.405041 
  72.000000  272.000000    1.370186    0.004993 -124.980469 -129.600000   -4.619531   -0.367537 
  73.000000  273.000000    1.375186    0.005000 -127.089844 -131.400000   -4.310156   -0.493549 
  74.000000  274.000000    1.380178    0.004992 -129.287109 -133.200000   -3.912891   -0.552055 
  75.000000  275.000000    1.385184    0.005005 -131.308594 -135.000000   -3.691406   -0.259526 
  76.000000  276.000000    1.390184    0.005001 -132.890625 -136.800000   -3.909375   -0.505551 
  77.000000  277.000000    1.395181    0.004996 -134.033203 -138.600000   -4.566797   -0.330033 
  78.000000  278.000000    1.400184    0.005004 -135.615234 -140.400000   -4.784766   -0.550555 
  79.000000  279.000000    1.405184    0.005000 -137.900391 -142.200000   -4.299609   -0.480048 
  80.000000  280.000000    1.410191    0.005007 -140.273438 -144.000000   -3.726563   -0.460546 
  81.000000  281.000000    1.415173    0.004982 -142.470703 -145.800000   -3.329297   -0.354035 
  82.000000  282.000000    1.420184    0.005010 -144.492188 -147.600000   -3.107812   -0.417042 
  83.000000  283.000000    1.425182    0.004998 -146.425781 -149.400000   -2.974219   -0.379538 
  84.000000  284.000000    1.430184    0.005003 -148.095703 -151.200000   -3.104297   -0.423042 
  85.000000  285.000000    1.435174    0.004990 -150.732422 -153.000000   -2.267578   -0.394539 
  86.000000  286.000000    1.440182    0.005007 -152.841797 -154.800000   -1.958203   -0.469547 
  87.000000  287.000000    1.445176    0.004994 -153.720703 -156.600000   -2.879297   -0.193519 
  88.000000  288.000000    1.450180    0.005005 -154.863281 -158.400000   -3.536719   -0.522052 
  89.000000  289.000000    1.455172    0.004992 -156.796875 -160.200000   -3.403125   -0.502550 
  90.000000  290.000000    1.460171    0.004999 -158.906250 -162.000000   -3.093750   -0.468047 
  91.000000  291.000000    1.465209    0.005038 -161.279297 -163.800000   -2.520703   -0.375038 
  92.000000  292.000000    1.470196    0.004987 -163.564453 -165.600000   -2.035547   -0.429043 
  93.000000  293.000000    1.475177    0.004981 -165.673828 -167.400000   -1.726172   -0.315032 
  94.000000  294.000000    1.480186    0.005009 -167.080078 -169.200000   -2.119922   -0.403540 
  95.000000  295.000000    1.485217    0.005031 -167.871094 -171.000000   -3.128906   -0.345035 
  96.000000  296.000000    1.490186    0.004969 -170.595703 -172.800000   -2.204297   -0.528053 
  97.000000  297.000000    1.495183    0.004997 -172.705078 -174.600000   -1.894922   -0.523552 
  98.000000  298.000000    1.500190    0.005007 -174.111328 -176.400000   -2.288672   -0.129013 
  99.000000  299.000000    1.505177    0.004987 -175.341797 -178.200000   -2.858203   -0.604560 
 100.000000  300.000000    1.510183    0.005006 -177.187500 -180.000000   -2.812500   -0.340534 
 101.000000  301.000000    1.515180    0.004996 -179.472656 -178.200000    1.272656   -0.588059 
 102.000000  302.000000    1.520184    0.005004 -182.109375 -176.400000    5.709375    0.595560 
 103.000000  303.000000    1.525179    0.004995 -184.833984 -174.600000   10.233984    0.370537 
 104.000000  304.000000    1.530183    0.005005 -184.921875 -172.800000   12.121875    0.736574 
 105.000000  305.000000    1.535182    0.004999 -184.130859 -171.000000   13.130859    0.733573 
 106.000000  306.000000    1.540185    0.005003 -182.285156 -169.200000   13.085156    0.387039 
 107.000000  307.000000    1.545183    0.004998 -179.912109 -167.400000   12.512109    0.675068 
 108.000000  308.000000    1.550187    0.005004 -177.802734 -165.600000   12.202734    0.292529 
 109.000000  309.000000    1.555171    0.004984 -175.693359 -163.800000   11.893359    0.516052 
 110.000000  310.000000    1.560186    0.005016 -173.847656 -162.000000   11.847656    0.397540 
 111.000000  311.000000    1.565184    0.004998 -172.001953 -160.200000   11.801953    0.469547 
 112.000000  312.000000    1.570187    0.005003 -169.541016 -158.400000   11.141016    0.471047 
 113.000000  313.000000    1.575183    0.004996 -167.167969 -156.600000   10.567969    0.466547 
 114.000000  314.000000    1.580185    0.005002 -165.058594 -154.800000   10.258594    0.342034 
 115.000000  315.000000    1.585181    0.004997 -163.740234 -153.000000   10.740234    0.456046 
