       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
   0.000000    0.000004    0.000001    0.000000    0.001545    0.001545    0.000000    0.000000    0.000000    0.000000    0.000000   -0.000380
   1.000000    0.005421    0.005416    0.000000    1.951440    1.951440    0.000000    0.000000    0.000000    0.000000    0.000000   -0.479557
   2.000000    0.010549    0.005128    0.000000    3.797595    3.797595    0.000000    0.000000    0.000000    0.000000    0.000000   -0.415858
   3.000000    0.015673    0.005124    0.000000    5.642295    5.642295    0.000000    0.000000    0.000000    0.000000    0.000000   -0.501985
   4.000000    0.023647    0.007974    0.439453    8.512770    8.073317    0.000000    0.000000    0.000000    0.000000    0.000000   -0.698687
   5.000000    0.028914    0.005268    1.230469   10.409205    9.178736    0.000000    0.000000    0.000000    0.000000    0.000000   -0.422726
   6.000000    0.034140    0.005225    2.109375   12.290370   10.180995    0.000000    0.000000    0.000000    0.000000    0.000000   -0.509441
   7.000000    0.039380    0.005240    2.724609   14.176635   11.452026    0.000000    0.000000    0.000000    0.000000    0.000000   -0.599359
   8.000000    0.044679    0.005299    3.251953   16.084365   12.832412    0.000000    0.000000    0.000000    0.000000    0.000000   -0.660202
   9.000000    0.049958    0.005279    3.955078   17.984850   14.029772    0.000000    0.000000    0.000000    0.000000    0.000000   -0.660946
  10.000000    0.055218    0.005260    5.097656   19.878330   14.780674    0.000000    0.000000    0.000000    0.000000    0.000000   -0.604931
  11.000000    0.060421    0.005203    6.943359   21.751530   14.808171    0.000000    0.000000    0.000000    0.000000    0.000000   -0.477905
  12.000000    0.065551    0.005130    9.492188   23.598480   14.106292    0.000000    0.000000    0.000000    0.000000    0.000000   -0.339025
  13.000000    0.070669    0.005118   11.689453   25.440795   13.751342    0.000000    0.000000    0.000000    0.000000    0.000000   -0.439906
  14.000000    0.075784    0.005115   13.535156   27.282075   13.746919    0.000000    0.000000    0.000000    0.000000    0.000000   -0.498177
  15.000000    0.080894    0.005111   15.029297   29.121885   14.092588    0.000000    0.000000    0.000000    0.000000    0.000000   -0.579445
  16.000000    0.086009    0.005115   16.347656   30.963330   14.615674    0.000000    0.000000    0.000000    0.000000    0.000000   -0.626170
  17.000000    0.091147    0.005137   17.314453   32.812830   15.498377    0.000000    0.000000    0.000000    0.000000    0.000000   -0.732790
  18.000000    0.096266    0.005119   18.632812   34.655760   16.022947    0.000000    0.000000    0.000000    0.000000    0.000000   -0.662856
  19.000000    0.101385    0.005119   21.357422   36.498735   15.141313    0.000000    0.000000    0.000000    0.000000    0.000000   -0.363503
  20.000000    0.106500    0.005114   24.345703   38.339940   13.994237    0.000000    0.000000    0.000000    0.000000    0.000000   -0.345363
  21.000000    0.111610    0.005111   26.806641   40.179735   13.373094    0.000000    0.000000    0.000000    0.000000    0.000000   -0.445223
