       step     cputime cputimediff       angle         ref       error      ierror      derror       pterm       iterm       dterm           v
  44.000000    0.231259    0.005110   75.498047   83.253225    7.755178    0.000000    0.000000    0.000000    0.000000    0.000000   -0.514326
  45.000000    0.236371    0.005112   77.080078   85.093725    8.013647    0.000000    0.000000    0.000000    0.000000    0.000000   -0.557473
  46.000000    0.241484    0.005113   78.486328   86.934420    8.448092    0.000000    0.000000    0.000000    0.000000    0.000000   -0.605547
  47.000000    0.246609    0.005124   80.419922   88.779105    8.359183    0.000000    0.000000    0.000000    0.000000    0.000000   -0.487327
  48.000000    0.251732    0.005123   83.056641   90.623520    7.566879    0.000000    0.000000    0.000000    0.000000    0.000000   -0.344198
  49.000000    0.256887    0.005155   85.605469   92.479245    6.873776    0.000000    0.000000    0.000000    0.000000    0.000000   -0.377484
  50.000000    0.262016    0.005129   87.978516   94.325760    6.347244    0.000000    0.000000    0.000000    0.000000    0.000000   -0.389216
  51.000000    0.267147    0.005131   89.912109   96.172755    6.260646    0.000000    0.000000    0.000000    0.000000    0.000000   -0.479126
  52.000000    0.272270    0.005124   90.439453   98.017365    7.577912    0.000000    0.000000    0.000000    0.000000    0.000000   -0.804181
  53.000000    0.277399    0.005129   90.966797   99.863625    8.896828    0.000000    0.000000    0.000000    0.000000    0.000000   -0.782572
  54.000000    0.282523    0.005125   93.515625  101.708460    8.192835    0.000000    0.000000    0.000000    0.000000    0.000000   -0.345253
  55.000000    0.287651    0.005128   96.943359  103.554420    6.611061    0.000000    0.000000    0.000000    0.000000    0.000000   -0.210966
  56.000000    0.292776    0.005124   99.580078  105.399195    5.819117    0.000000    0.000000    0.000000    0.000000    0.000000   -0.381885
  57.000000    0.297902    0.005127  100.722656  107.244765    6.522109    0.000000    0.000000    0.000000    0.000000    0.000000   -0.683665
  58.000000    0.303027    0.005125  102.392578  109.089615    6.697037    0.000000    0.000000    0.000000    0.000000    0.000000   -0.513561
  59.000000    0.308154    0.005127  104.941406  110.935320    5.993914    0.000000    0.000000    0.000000    0.000000    0.000000   -0.348426
  60.000000    0.313311    0.005157  108.369141  112.791870    4.422729    0.000000    0.000000    0.000000    0.000000    0.000000   -0.151277
  61.000000    0.318432    0.005121  110.654297  114.635475    3.981178    0.000000    0.000000    0.000000    0.000000    0.000000   -0.419483
  62.000000    0.323556    0.005125  111.708984  116.480325    4.771341    0.000000    0.000000    0.000000    0.000000    0.000000   -0.645605
  63.000000    0.328677    0.005121  112.500000  118.323765    5.823765    0.000000    0.000000    0.000000    0.000000    0.000000   -0.689748
  64.000000    0.333803    0.005126  113.906250  120.169245    6.262995    0.000000    0.000000    0.000000    0.000000    0.000000   -0.571753
  65.000000    0.338923    0.005120  115.576172  122.012325    6.436153    0.000000    0.000000    0.000000    0.000000    0.000000   -0.554517
  66.000000    0.344050    0.005127  117.070312  123.858045    6.787732    0.000000    0.000000    0.000000    0.000000    0.000000   -0.613132
  67.000000    0.349176    0.005126  119.619141  125.703450    6.084309    0.000000    0.000000    0.000000    0.000000    0.000000   -0.357492
  68.000000    0.354303    0.005127  121.904297  127.549215    5.644918    0.000000    0.000000    0.000000    0.000000    0.000000   -0.460066
  69.000000    0.359426    0.005122  124.013672  129.393300    5.379628    0.000000    0.000000    0.000000    0.000000    0.000000   -0.466084
  70.000000    0.364552    0.005126  126.386719  131.238765    4.852046    0.000000    0.000000    0.000000    0.000000    0.000000   -0.393756
  71.000000    0.369675    0.005123  129.462891  133.082970    3.620079    0.000000    0.000000    0.000000    0.000000    0.000000   -0.220915
  72.000000    0.374800    0.005125  131.923828  134.928135    3.004307    0.000000    0.000000    0.000000    0.000000    0.000000   -0.369299
  73.000000    0.379925    0.005124  132.802734  136.772865    3.970131    0.000000    0.000000    0.000000    0.000000    0.000000   -0.702427
  74.000000    0.385050    0.005125  133.505859  138.617835    5.111976    0.000000    0.000000    0.000000    0.000000    0.000000   -0.706305
  75.000000    0.390173    0.005124  134.560547  140.462355    5.901808    0.000000    0.000000    0.000000    0.000000    0.000000   -0.664873
  76.000000    0.395298    0.005125  137.109375  142.307385    5.198010    0.000000    0.000000    0.000000    0.000000    0.000000   -0.340632
  77.000000    0.400421    0.005122  140.009766  144.151470    4.141704    0.000000    0.000000    0.000000    0.000000    0.000000   -0.307062
  78.000000    0.405547    0.005126  142.646484  145.996845    3.350361    0.000000    0.000000    0.000000    0.000000    0.000000   -0.343302
  79.000000    0.410670    0.005123  143.876953  147.841290    3.964337    0.000000    0.000000    0.000000    0.000000    0.000000   -0.653039
  80.000000    0.415796    0.005126  144.931641  149.686575    4.754934    0.000000    0.000000    0.000000    0.000000    0.000000   -0.649386
