   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
   0.000000  200.000000    1.006556    1.006551   -0.000000    0.000000    0.000000    0.000000 
   1.000000  201.000000    1.015246    0.008690   -0.000000   -1.800000   -1.800000   -0.066007 
   2.000000  202.000000    1.020220    0.004974   -0.000000   -3.600000   -3.600000   -0.118512 
   3.000000  203.000000    1.025217    0.004997   -0.000000   -5.400000   -5.400000   -0.174017 
   4.000000  204.000000    1.030205    0.004988   -0.000000   -7.200000   -7.200000   -0.231023 
   5.000000  205.000000    1.035188    0.004984   -0.087891   -9.000000   -8.912109   -0.288029 
   6.000000  206.000000    1.040212    0.005024   -0.351562  -10.800000  -10.448438   -0.346535 
   7.000000  207.000000    1.045227    0.005014   -0.791016  -12.600000  -11.808984   -0.385539 
   8.000000  208.000000    1.050228    0.005001   -1.406250  -14.400000  -12.993750   -0.420042 
   9.000000  209.000000    1.055239    0.005011   -2.021484  -16.200000  -14.178516   -0.453045 
  10.000000  210.000000    1.060350    0.005111   -2.636719  -18.000000  -15.363281   -0.478548 
  11.000000  211.000000    1.065284    0.004933   -2.988281  -19.800000  -16.811719   -0.541554 
  12.000000  212.000000    1.070270    0.004986   -3.251953  -21.600000  -18.348047   -0.570057 
  13.000000  213.000000    1.075256    0.004987   -3.339844  -23.400000  -20.060156   -0.687069 
  14.000000  214.000000    1.080253    0.004996   -3.515625  -25.200000  -21.684375   -0.700570 
  15.000000  215.000000    1.085257    0.005004   -4.218750  -27.000000  -22.781250   -0.829583 
  16.000000  216.000000    1.090277    0.005020   -5.537109  -28.800000  -23.262891   -0.816082 
  17.000000  217.000000    1.095254    0.004977   -7.734375  -30.600000  -22.865625   -0.820582 
  18.000000  218.000000    1.100291    0.005037  -11.074219  -32.400000  -21.325781   -0.778578 
  19.000000  219.000000    1.105267    0.004977  -15.205078  -34.200000  -18.994922   -0.679568 
  20.000000  220.000000    1.110297    0.005030  -19.160156  -36.000000  -16.839844   -0.528053 
  21.000000  221.000000    1.115245    0.004948  -22.763672  -37.800000  -15.036328   -0.439544 
  22.000000  222.000000    1.120346    0.005100  -26.279297  -39.600000  -13.320703   -0.462046 
  23.000000  223.000000    1.125233    0.004888  -29.531250  -41.400000  -11.868750   -0.411041 
  24.000000  224.000000    1.130238    0.005004  -32.695312  -43.200000  -10.504688   -0.375038 
  25.000000  225.000000    1.135238    0.005001  -35.683594  -45.000000   -9.316406   -0.381038 
  26.000000  226.000000    1.140272    0.005034  -38.408203  -46.800000   -8.391797   -0.318032 
  27.000000  227.000000    1.145245    0.004972  -40.957031  -48.600000   -7.642969   -0.340534 
  28.000000  228.000000    1.150292    0.005047  -43.417969  -50.400000   -6.982031   -0.321032 
  29.000000  229.000000    1.155245    0.004953  -46.318359  -52.200000   -5.881641   -0.324032 
  30.000000  230.000000    1.160262    0.005017  -48.515625  -54.000000   -5.484375   -0.303030 
  31.000000  231.000000    1.165271    0.005009  -49.306641  -55.800000   -6.493359   -0.187519 
  32.000000  232.000000    1.170278    0.005006  -50.449219  -57.600000   -7.150781   -0.399040 
  33.000000  233.000000    1.175298    0.005020  -52.294922  -59.400000   -7.105078   -0.507051 
  34.000000  234.000000    1.180270    0.004972  -54.052734  -61.200000   -7.147266   -0.357036 
