   step_cpu      sn_cpu cputime_cpu cputimediff_cpu   angle_cpu     ref_cpu   error_cpu       v_cpu 
  68.000000  269.000000    1.350174    0.004992 -117.861328 -124.200000   -6.338672   -0.340534 
  69.000000  270.000000    1.355181    0.005007 -119.707031 -126.000000   -6.292969   -0.372037 
  70.000000  271.000000    1.360176    0.004995 -121.640625 -127.800000   -6.159375   -0.403540 
  71.000000  272.000000    1.365182    0.005006 -123.398438 -129.600000   -6.201563   -0.376538 
  72.000000  273.000000    1.370173    0.004991 -124.980469 -131.400000   -6.419531   -0.424542 
  73.000000  274.000000    1.375183    0.005010 -126.474609 -133.200000   -6.725391   -0.462046 
  74.000000  275.000000    1.380173    0.004990 -127.792969 -135.000000   -7.207031   -0.487549 
  75.000000  276.000000    1.385185    0.005012 -130.693359 -136.800000   -6.106641   -0.540054 
  76.000000  277.000000    1.390319    0.005135 -132.978516 -138.600000   -5.621484   -0.162016 
  77.000000  278.000000    1.395183    0.004864 -134.384766 -140.400000   -6.015234   -0.364536 
  78.000000  279.000000    1.400186    0.005004 -135.615234 -142.200000   -6.584766   -0.519052 
  79.000000  280.000000    1.405185    0.004999 -137.812500 -144.000000   -6.187500   -0.544554 
  80.000000  281.000000    1.410179    0.004994 -140.097656 -145.800000   -5.702344   -0.327033 
  81.000000  282.000000    1.415184    0.005005 -142.558594 -147.600000   -5.041406   -0.345035 
  82.000000  283.000000    1.420179    0.004995 -145.107422 -149.400000   -4.292578   -0.283528 
  83.000000  284.000000    1.425183    0.005004 -146.074219 -151.200000   -5.125781   -0.255026 
  84.000000  285.000000    1.430180    0.004997 -147.041016 -153.000000   -5.958984   -0.625563 
  85.000000  286.000000    1.435228    0.005048 -149.238281 -154.800000   -5.561719   -0.573057 
  86.000000  287.000000    1.440182    0.004954 -151.347656 -156.600000   -5.252344   -0.318032 
  87.000000  288.000000    1.445186    0.005004 -153.457031 -158.400000   -4.942969   -0.388539 
  88.000000  289.000000    1.450184    0.004997 -155.917969 -160.200000   -4.282031   -0.364536 
  89.000000  290.000000    1.455183    0.005000 -158.291016 -162.000000   -3.708984   -0.276028 
  90.000000  291.000000    1.460169    0.004986 -160.488281 -163.800000   -3.311719   -0.297030 
  91.000000  292.000000    1.465190    0.005021 -162.509766 -165.600000   -3.090234   -0.316532 
  92.000000  293.000000    1.470183    0.004993 -164.443359 -167.400000   -2.956641   -0.342034 
  93.000000  294.000000    1.475190    0.005007 -166.113281 -169.200000   -3.086719   -0.351035 
  94.000000  295.000000    1.480178    0.004988 -166.201172 -171.000000   -4.798828   -0.411041 
  95.000000  296.000000    1.485192    0.005014 -166.289062 -172.800000   -6.510937   -0.793579 
  96.000000  297.000000    1.490171    0.004979 -168.046875 -174.600000   -6.553125   -0.771077 
  97.000000  298.000000    1.495181    0.005010 -170.683594 -176.400000   -5.716406   -0.433543 
  98.000000  299.000000    1.500183    0.005003 -173.583984 -178.200000   -4.616016   -0.303030 
  99.000000  300.000000    1.505185    0.005002 -176.396484 -180.000000   -3.603516   -0.241524 
 100.000000  301.000000    1.510182    0.004997 -179.121094 -178.200000    0.921094   -0.240024 
 101.000000  302.000000    1.515185    0.005002 -181.494141 -176.400000    5.094141    0.658566 
 102.000000  303.000000    1.520183    0.004998 -183.515625 -174.600000    8.915625    0.531053 
 103.000000  304.000000    1.525188    0.005005 -183.427734 -172.800000   10.627734    0.634563 
 104.000000  305.000000    1.530181    0.004994 -182.460938 -171.000000   11.460938    0.240024 
 105.000000  306.000000    1.535188    0.005006 -181.142578 -169.200000   11.942578    0.187519 
 106.000000  307.000000    1.540186    0.004998 -179.912109 -167.400000   12.512109    0.151515 
 107.000000  308.000000    1.545187    0.005001 -178.769531 -165.600000   13.169531    0.207021 
 108.000000  309.000000    1.550185    0.004999 -178.242188 -163.800000   14.442187    0.244524 
 109.000000  310.000000    1.555186    0.005001 -178.417969 -162.000000   16.417969    0.420042 
 110.000000  311.000000    1.560235    0.005049 -178.505859 -160.200000   18.305859    0.609061 
