       step          sn     cputime cputimediff       angle         ref       error           v 
  69.000000  283.000000    1.430106    0.005901 -145.810547 -149.400000   -3.589453   -0.280528 
  70.000000  284.000000    1.436008    0.005902 -148.974609 -151.200000   -2.225391    0.012001 
  71.000000  285.000000    1.441900    0.005893 -152.402344 -153.000000   -0.597656    0.106511 
  72.000000  286.000000    1.447976    0.006076 -155.390625 -154.800000    0.590625    0.304530 
  73.000000  287.000000    1.453853    0.005876 -156.005859 -156.600000   -0.594141    0.357036 
  74.000000  289.000000    1.459699    0.005846 -156.884766 -160.200000   -3.315234   -0.222022 
  75.000000  290.000000    1.465601    0.005902 -157.148438 -162.000000   -4.851562   -0.412541 
  76.000000  291.000000    1.471558    0.005957 -157.148438 -163.800000   -6.651563   -0.577558 
  77.000000  292.000000    1.477512    0.005954 -157.763672 -165.600000   -7.836328   -0.793579 
  78.000000  293.000000    1.483558    0.006046 -159.697266 -167.400000   -7.702734   -0.822082 
  79.000000  295.000000    1.489507    0.005949 -165.937500 -171.000000   -5.062500   -0.604560 
  80.000000  296.000000    1.495451    0.005944 -169.453125 -172.800000   -3.346875   -0.144014 
  81.000000  297.000000    1.501348    0.005898 -173.583984 -174.600000   -1.016016    0.034503 
  82.000000  298.000000    1.507200    0.005851 -176.748047 -176.400000    0.348047    0.352535 
  83.000000  299.000000    1.513130    0.005931 -178.330078 -178.200000    0.130078    0.345035 
  84.000000  300.000000    1.519154    0.006023 -179.824219 -180.000000   -0.175781    0.091509 
  85.000000  302.000000    1.525050    0.005896 -181.054688 -176.400000    4.654687    0.897090 
  86.000000  303.000000    1.530945    0.005895 -181.142578 -174.600000    6.542578    0.856586 
  87.000000  304.000000    1.536839    0.005894 -179.472656 -172.800000    6.672656    1.030603 
  88.000000  305.000000    1.542726    0.005888 -177.099609 -171.000000    6.099609    0.787579 
  89.000000  306.000000    1.548627    0.005900 -173.935547 -169.200000    4.735547    0.631563 
  90.000000  308.000000    1.554519    0.005893 -165.937500 -165.600000    0.337500    0.250525 
  91.000000  309.000000    1.560421    0.005901 -162.333984 -163.800000   -1.466016   -0.162016 
  92.000000  310.000000    1.566321    0.005900 -158.994141 -162.000000   -3.005859   -0.286529 
  93.000000  311.000000    1.572217    0.005896 -157.236328 -160.200000   -2.963672   -0.399040 
